city_code,province_code,province_name,macro_region,lat,long,api_elevation,coastal_status,total_demand,log_total_demand,demand_percentile,demand_tier,total_search_rows,active_log_days,unique_checkins,mean_lead_time,median_lead_time,p25_lead_time,p75_lead_time,share_lead_0_3,share_lead_4_7,share_lead_8_14,share_lead_15_30,share_lead_31_plus,active_rate,checkin_coverage,cluster,cluster_label,cluster_distance,cluster_score
1011,149,Mazandaran,NORTH_CASPIAN,35.881989,52.16975,2050.0,1,238606,12.382573126019464,0.7819314641744548,HIGH,17446,789,752,15.11899575834002,12.0,5.0,22.0,0.1712140318697695,0.1631319500171959,0.2365585234437693,0.3051129198670182,0.1239825748022469,0.9728729963008631,1.0,3,ACTIVE_HIGH_DEMAND,1.5279142716255651,0.3170398003577749
1013,289,Razavi Khorasan,EAST,37.102367,58.510872,1317.0,0,28,3.367295829986474,0.2087227414330218,LOW,11,5,11,4.2727272727272725,4.0,1.5,5.5,0.4545454545454545,0.4545454545454545,0.0909090909090909,0.0,0.0,0.006165228113440197,0.014627659574468085,2,ACTIVE_MEDIUM_DEMAND,3.536928249544052,0.15307139009953244
1053,149,Mazandaran,NORTH_CASPIAN,36.721233,51.115971,-20.0,1,698994,13.457398868114542,0.8660436137071651,VERY_HIGH,22756,786,752,19.037836175074705,16.0,7.0,28.0,0.131877307083846,0.1290648620144137,0.2031991562664791,0.3222007382668307,0.2136579363684303,0.969173859432799,1.0,4,VERY_HIGH_DEMAND,1.437599323539549,0.13909837065225944
1054,289,Razavi Khorasan,EAST,37.444752,59.105713,480.0,0,52508,10.868739862458945,0.6199376947040498,HIGH,7009,719,744,12.424311599372237,9.0,3.0,18.0,0.2583820801826223,0.1930375231844771,0.2269938650306748,0.2289912969039806,0.0925952346982451,0.8865598027127004,0.9893617021276596,2,ACTIVE_MEDIUM_DEMAND,1.6585768934584062,0.4338646122671336
1120,987,Tehran,NORTH_CENTRAL,35.691353,50.840694,1161.0,0,29199,10.281923988256374,0.5669781931464174,MEDIUM,6727,773,751,10.82770923145533,7.0,2.0,15.0,0.3257023933402705,0.2051434517615579,0.2042515237104206,0.1887914374907091,0.0761111936970417,0.9531442663378545,0.9986702127659575,3,ACTIVE_HIGH_DEMAND,0.6887755357200338,0.580975536659422
1156,149,Mazandaran,NORTH_CASPIAN,36.516186,52.574413,5.0,1,2,1.0986122886681098,0.0965732087227414,VERY_LOW,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0012330456226880395,0.0013297872340425532,1,SPARSE_LOW_DEMAND_B,1.3974791476255608,0.5011352140449682
1173,987,Tehran,NORTH_CENTRAL,35.814018,52.513824,2129.0,0,8931,9.097395612960048,0.4330218068535825,MEDIUM,2693,607,623,8.663572224285184,5.0,2.0,12.0,0.3687337541774972,0.2365391756405495,0.1975492016338655,0.1581878945414036,0.038989974006684,0.7484586929716399,0.8284574468085106,3,ACTIVE_HIGH_DEMAND,1.3711013226953512,0.48103360566284187
1177,149,Mazandaran,NORTH_CASPIAN,36.237915,53.539406,1237.0,1,83278,11.32995169553184,0.6697819314641744,HIGH,12140,770,752,13.980889621087314,11.0,4.0,20.0,0.2114497528830313,0.1757001647446458,0.2299011532125205,0.271828665568369,0.1111202635914332,0.9494451294697904,1.0,3,ACTIVE_HIGH_DEMAND,1.566757465522365,0.33519541446789564
1183,987,Tehran,NORTH_CENTRAL,35.702908,51.349758,1196.0,0,30084842,17.219532048075525,1.0,VERY_HIGH,45120,811,752,29.5,29.5,14.75,44.25,0.0666666666666666,0.0666666666666666,0.1166666666666666,0.2666666666666666,0.4833333333333333,1.0,1.0,4,VERY_HIGH_DEMAND,1.9095035145787203,0.44414274011499494
1209,289,Razavi Khorasan,EAST,36.482105,59.159492,1433.0,0,2110,7.65491704784832,0.3115264797507788,LOW,972,244,279,8.77880658436214,5.0,2.0,13.0,0.3744855967078189,0.2386831275720164,0.1779835390946502,0.1615226337448559,0.0473251028806584,0.3008631319358816,0.37101063829787234,2,ACTIVE_MEDIUM_DEMAND,1.5333699885742809,0.45157647046278554
1224,987,Tehran,NORTH_CENTRAL,35.4832,51.079914,1038.0,0,25655,10.15253274137299,0.5545171339563862,MEDIUM,8122,760,752,11.724944594927358,7.0,3.0,17.0,0.3108840187146023,0.1946564885496183,0.1987195272100468,0.2070918492982024,0.0886481162275301,0.93711467324291,1.0,3,ACTIVE_HIGH_DEMAND,0.5672635734107238,0.5791803110961117
1239,929,Alborz,NORTH_CENTRAL,35.95195,50.604534,1197.0,0,10876,9.294405747093853,0.454828660436137,MEDIUM,3305,719,739,8.986686838124054,5.0,2.0,12.0,0.4124054462934947,0.2057488653555219,0.172465960665658,0.1543116490166414,0.0550680786686838,0.8865598027127004,0.9827127659574468,3,ACTIVE_HIGH_DEMAND,1.0329073356688552,0.5700438862455108
1265,987,Tehran,NORTH_CENTRAL,35.603191,51.438709,1067.0,0,18225,9.810604425056072,0.5264797507788161,MEDIUM,4475,310,311,14.935418994413409,10.0,4.0,23.0,0.2404469273743016,0.169608938547486,0.1901675977653631,0.250949720670391,0.1488268156424581,0.38224414303329224,0.41356382978723405,3,ACTIVE_HIGH_DEMAND,0.9456470187369008,0.45750076302549025
