city_code,province_code,lat,long,first_checkin,last_checkin,positive_checkins,positive_rows,total_searches,mean_demand_positive,median_demand_positive,p90_demand_positive,active_span_days,positive_checkin_rate,city_share_all_history,is_one_off_anomaly,city_reliability,fit_eligible,completion_D30,completion_D21,completion_D14,completion_D7,completion_D3,completion_D1,recent_90_total,previous_90_total,recent_90_share_platform,recent_growth_90_vs_prev90,log_recent_growth_90,mean_daily_demand_365,median_daily_demand_365,std_daily_demand_365,demand_cv_365,weekday_index_mon,weekday_index_tue,weekday_index_wed,weekday_index_thu,weekday_index_fri,weekday_index_sat,weekday_index_sun,weekend_index_365,holiday_index_365,log_total_searches,log_recent_90_total,snapshot_cutoff
1011,149,35.881989,52.16975,2023-11-01,2024-05-20,202.0,4866.0,66626.0,329.83168316831683,187.5,755.0,202.0,1.0,0.0009583012388142753,False,reliable,1,0.02733167232011527,0.0662804310629484,0.13027947047699096,0.2841233152222856,0.5452826223996637,0.8439498093837241,28857.0,32211.0,0.0006820089733917946,0.8958773128026822,-0.10995180305823382,329.83168316831683,187.5,343.55829183226683,1.0416170106282518,0.5256599629222102,0.5796246424604723,1.0392970746638208,2.545498961262922,0.9938193332415532,0.7369485041047452,0.5646558193601545,1.7696591472522378,2.2538768648875815,11.106865179779318,10.270142529857202,2024-05-20
1013,289,37.102367,58.510872,,,0.0,0.0,0.0,,,,,,,,cold_start,0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,2024-05-20
1053,149,36.721233,51.115971,2023-11-01,2024-05-20,202.0,5456.0,119563.0,591.8960396039604,292.5,1037.4,202.0,1.0,0.0017197095880940054,False,reliable,1,0.06345608591286601,0.12130006774671094,0.19906660087150707,0.3651882271271213,0.5972081664059952,0.8290022833150724,86058.0,25896.0,0.002033902631325192,3.323126230837549,1.2009059756619678,591.8960396039604,292.5,823.4167404431054,1.391150954471762,0.7139534286786334,0.8227796224584529,1.172095392214233,1.555783460861926,1.0974084647914661,0.8695026456979685,0.7623659377958871,1.3265959628266963,2.7863001095656683,11.691607071843588,11.36278838652494,2024-05-20
1054,289,37.444752,59.105713,2023-11-01,2024-05-20,201.0,1569.0,11852.0,58.96517412935324,11.0,95.0,202.0,0.995049504950495,0.00017047078141306383,False,reliable,1,0.02505906176172798,0.05248059399257509,0.10327370907863652,0.28400269996625044,0.6513668579142761,0.9132635842051975,10849.0,865.0,0.0002564062567948013,12.528868360277137,2.52803545040617,58.67326732673267,11.0,200.40054959214473,3.4155341729339552,0.3467478208246535,0.5989585844462659,1.7213972325345934,2.2221245941322287,1.1189963573731192,0.502490486110303,0.4754559102493978,1.670560475752674,5.107379907751153,9.3803362790795,9.291920358968605,2024-05-20
1120,987,35.691353,50.840694,2023-11-01,2024-05-20,201.0,1534.0,5218.0,25.960199004975124,21.0,48.0,202.0,0.995049504950495,7.505201969400668e-05,False,reliable,1,0.07493292449214259,0.13453430433116137,0.209658873131468,0.37389804522805675,0.5848984285166731,0.8282866998850135,3004.0,1715.0,7.099681034303465e-05,1.7511655011655012,0.5602815669213994,25.831683168316832,21.0,21.346732098431435,0.8263779003225661,0.7822524153791253,0.8032771176696052,0.9250869007811158,1.8808765414149957,1.081270403510395,0.8236343690937206,0.6968187044844768,1.4810734724626955,2.0414207231378563,8.560061091643414,8.008032846969307,2024-05-20
1156,149,36.516186,52.574413,,,0.0,0.0,0.0,,,,,,,,cold_start,0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,2024-05-20
1173,987,35.814018,52.513824,2023-11-01,2024-05-20,154.0,444.0,1151.0,7.474025974025974,4.0,15.0,202.0,0.7623762376237624,1.655516954154881e-05,False,sparse,0,0.0069504778453518675,0.03996524761077324,0.09035621198957429,0.2701998262380539,0.5343179843614249,0.8583840139009556,877.0,227.0,2.0727098092823367e-05,3.8508771929824563,1.3483009646806758,5.698019801980198,3.0,9.842182343019141,1.727298725707964,0.6172743341621978,0.714533945637334,1.1619281584229606,2.1725635878845977,0.9985320111447317,0.6233260433206508,0.7019982623805386,1.585547799514665,2.6441934549666954,7.049254841255837,6.777646593635117,2024-05-20
1177,149,36.237915,53.539406,2023-11-01,2024-05-20,202.0,2469.0,12763.0,63.18316831683168,30.0,134.9,202.0,1.0,0.00018357396078087527,False,reliable,1,0.045208806706887095,0.10154352424978454,0.18467444958081955,0.3810232703909739,0.6319047245945311,0.8685262085716524,8976.0,3007.0,0.00021213960374137118,2.984375,1.0933903446869593,63.18316831683168,30.0,92.4039429381065,1.4624771976414255,0.5899650660448981,0.7280419963958317,1.2432381317763903,2.005662921105458,1.0314837879970928,0.8060854787680986,0.586144755718983,1.5185733545512756,3.3922536498733318,9.454383987398135,9.10242102975669,2024-05-20
1183,987,35.702908,51.349758,2023-11-01,2024-05-20,202.0,12120.0,8300831.0,41093.22277227723,36514.5,55297.4,202.0,1.0,0.11939327935772731,False,reliable,1,0.08509328764794753,0.16270238485761246,0.25502253930961855,0.4197933917700529,0.620204772269186,0.8283905551143012,4055927.0,3490102.0,0.09585814912922554,1.1621227224526038,0.1502482659792097,41093.22277227723,36514.5,17687.00580210393,0.43041174697147716,0.8636737529132885,0.9231736041160905,1.1525392395382896,1.3855426747282165,0.9113147994376748,0.8985372918562673,0.8625694513452098,1.1484287370829458,1.3768093499715068,15.931866308706892,15.215690072616306,2024-05-20
1209,289,36.482105,59.159492,2023-11-02,2023-11-04,3.0,3.0,3.0,1.0,1.0,1.0,201.0,0.014925373134328358,4.314987717171714e-08,False,sparse,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,0.014925373134328358,0.0,0.12155706233281996,8.144323176298938,0.0,0.0,0.0,2.310344827586207,2.310344827586207,2.310344827586207,0.0,2.310344827586207,0.0,1.3862943611198906,0.0,2024-05-20
